Formula,FW,DSSTox_CID,SR-HSE,SMILES,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
C17H18F3NO,309.3261,3067,0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,,0,,,,,,,,,
C14H12N6O,280.2847,26445,0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,,0,,,,,,,,,
C14H14Cl3O6P,415.5901,26221,0,Cc1c(Cl)c(=O)oc2cc(OP(=O)(OCCCl)OCCCl)ccc12,,0,,,,,,,,,
C26H23F3N4O6S,576.5442 (404.3426+172.2016),27820,0,Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,,1,,,,,,,,,
C9H5I2NO,396.951,3155,0,Oc1c(I)cc(I)c2cccnc12,,0,,,,,,,,,
C7H6O4,154.1201,31473,1,O=Cc1ccc(O)c(O)c1O,,1,,,,,,,,,
C20H14O4,318.3228,1125,0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,,0,,,,,,,,,
C21H20BrN3,394.3076 (314.4031+79.9045),5258,0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-],,1,,,,,,,,,
C32H68BrN,546.7930 (466.8885+79.9045),14042,,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],0,,1,,,1,,,,,
C32H68BrP,563.7601 (79.9045+483.8555),27876,,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],0,,1,,,1,,,,,
C14H12Cl2NNaO3,336.1457 (18.0153+22.9892+295.1412),25567,0,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],,0,,,,,,,,,
C8H7N3O5,225.1583,21997,0,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,,1,,,,,,,,,
C10H10BrNO2,256.0959,31474,0,CC1(C)OC(=O)Nc2ccc(Br)cc21,,0,,,,,,,,,
C15H21N5O4,335.3583,31617,0,CC(C)=CCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,1,,,,,,,,,
C11H12N2O2,204.2252,25161,1,c1ccc2c(c1)OCC(C1=NCCN1)O2,,1,,,,,,,,,
C26H28N2,368.5139,2821,0,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,1,,,,,,,,,
C22H34O7,410.5012,20484,0,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,,0,,,,,,,,,
C27H38O6,458.587,3505,0,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,,,,,,,,,
C24H27NO5S,441.5399,3719,0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,,1,,,,,,,,,
C27H29N3O2,427.5381,31430,0,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1,,0,,,,,,,,,
C31H33N3O6S,575.6752,3746,0,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,,1,,,,,,,,,
C11H10Cl2N4,269.1299,31620,0,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,1,,,,,,,,,
C21H45N3,339.6021,25297,0,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,,0,,,,,,,,,
C25H28N6O,428.5294,3169,0,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,0,,,,,,,,,
C28H44O3,428.6472,3352,0,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,,0,,,,,,,,,
C9H11NO2,165.1891,581,1,CCOc1ccccc1C(N)=O,,0,,,,,,,,,
C26H31Cl3F3NO,536.8846 (500.4237+36.4609),25464,0,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl,,0,,,,,,,,,
C23H32ClNO2,389.9587 (36.4609+353.4977),25792,0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl,,0,,,,,,,,,
C25H29Cl3N2,463.8702 (390.9483+36.4609+36.4609),25348,0,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1.Cl.Cl,,1,,,,,,,,,
C19H26Cl3N5O3,478.8004 (369.4176+36.4609+36.4609+36.4609),27794,0,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC.Cl.Cl.Cl,,1,,,,,,,,,
C22H25Cl2N3O,418.3594 (36.4609+381.8985),25945,0,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,,0,,,,,,,,,
C23H28ClN3O7,493.9373 (457.4764+36.4609),24545,0,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,,0,,,,,,,,,
C20H24ClN,313.8643 (277.4033+36.4609),13187,0,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,,0,,,,,,,,,
C20H22ClN,311.8484 (275.3874+36.4609),25105,0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl,,0,,,,,,,,,
C17H21ClN2S,320.8800 (284.4191+36.4609),26949,0,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,,0,,,,,,,,,
C21H22ClN,323.8591 (287.3981+36.4609),25496,0,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12.Cl,,0,,,,,,,,,
C22H23ClN2O8,478.8796 (442.4187+36.4609),25382,0,C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl,,0,,,,,,,,,
C18H22ClNO4,351.8246 (315.3636+36.4609),28968,1,Cl.O=C(O)Cc1ccc(OCCNC[C@H](O)c2ccccc2)cc1,,0,,,,,,,,,
C24H32ClNO6,465.9670 (429.5060+36.4609),26662,0,COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1.Cl,,0,,,,,,,,,
C22H26ClN3O4S,463.9775 (427.5166+36.4609),27766,0,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2.Cl,,1,,,,,,,,,
C18H15BiCl2,511.1981,22499,,Cl[Bi](Cl)(c1ccccc1)(c1ccccc1)c1ccccc1,0,,,1,,,,,,,
C17H16ClNO,285.768,28974,0,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,,0,,,,,,,,,
C22H19ClO3,366.8375,2629,0,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,,1,,,,,,,,,
C19H16ClNO4,357.7876,740,0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,0,,,,,,,,,
C15H13ClN2,256.7301,26140,0,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,,1,,,,,,,,,
C22H24ClN5O2,425.9113,25116,0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,,0,,,,,,,,,
C17H20N2S,284.4191,3518,0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,,0,,,,,,,,,
C20H26N2O3,342.432,25140,0,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,,0,,,,,,,,,
C23H27N,317.4672,20657,0,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,,0,,,,,,,,,
C32H29N5O2,515.605,24029,0,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,,0,,,,,,,,,
C18H18O4,298.3331,26152,1,COc1ccc(C=CC(=O)c2ccc(OC)cc2OC)cc1,,1,,,,,,,,,
C27H25F2N3OS,477.5687,22594,0,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,1,,,,,,,,,
C21H23BrFNO2,420.3152,2690,0,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,,0,,,,,,,,,
C22H26FN3O2,383.4591,22579,0,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,,1,,,,,,,,,
C14H12N6O,280.2847,26445,0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,,0,,,,,,,,,
C14H10ClN3S2,319.8323,26428,0,N#C/C(=C1\SCC(c2ccccc2Cl)S1)n1ccnc1,,0,,,,,,,,,
C63H88CoN14O14P,1355.3652,24346,0,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,,0,,,,,,,,,
C8H12N4O5,244.2047,116,0,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,,1,,,,,,,,,
C5H7N3,109.1292,26715,0,Nc1ccncc1N,,0,,,,,,,,,
C15H24N4O2S2,356.5067,26633,0,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,,0,,,,,,,,,
C5H5N5S,167.1917,3652,0,Nc1nc2nc[nH]c2c(=S)[nH]1,,1,,,,,,,,,
C9H10N2O3S2,258.3173,3021,0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,,1,,,,,,,,,
C13H10N4O5,302.2423,23761,0,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cc1,,1,,,,,,,,,
C9H16ClN3O2,233.6952,3222,0,O=NN(CCCl)C(=O)NC1CCCCC1,,0,,,,,,,,,
C31H33NO7,531.5962 (415.5241+116.0722),28963,0,O=C(O)/C=C/C(=O)O.c1ccc(C(O[C@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1,,0,,,,,,,,,
C23H26N2O5S,442.5279 (326.4558+116.0722),27763,0,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)/C=C\C(=O)O,,0,,,,,,,,,
C30H35N3O9S,613.6786 (116.0722+116.0722+381.5343),25811,0,O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,,0,,,,,,,,,
C13H18Cl2N2O2,305.2002,804,0,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,,0,,,,,,,,,
C19H19N7O6,441.3975,2519,0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,,0,,,,,,,,,
C17H14O3S,298.3563,29002,0,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,,0,,,,,,,,,
C28H28O3,412.5201,26481,1,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,,1,,,,,,,,,
C33H30N4O2,514.6169,3636,0,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,,1,,,,,,,,,
C29H39NO9,545.6213,25678,,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=CC23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,0,,1,,,,,,1,,
C13H13N3O3,259.2606,31502,0,COC(=O)Nc1nc2cc(C(=O)C3CC3)ccc2[nH]1,,0,,,,,,,,,
C16H13N3O3,295.2927,20682,0,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,,1,,,,,,,,,
C12H15N3O3,249.2658,25625,0,CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1,,1,,,,,,,,,
C24H31ClO7,466.9517,26468,0,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,1,,,,,,,,,
C21H24O2,308.4141,3094,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,,1,,,,,,,,,
C11H12N4O3S,280.303,3611,0,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,,0,,,,,,,,,
C14H9F3O2,266.2153,26565,0,O=C(O)c1ccccc1-c1ccc(C(F)(F)F)cc1,,0,,,,,,,,,
C20H23ClFNO,347.8541,25744,1,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,,0,,,,,,,,,
C18H18O2,266.3343,2382,1,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,,1,,,,,,,,,
C20H15NO3,317.338,24528,0,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,,0,,,,,,,,,
C15H12O3,240.254,28597,0,Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1,,1,,,,,,,,,
C23H31NO7,433.4947,3340,0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,,1,,,,,,,,,
C20H24O2,296.4034,576,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,0,,,,,,,,,
C25H22O10,482.4362,6018,1,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,,0,,,,,,,,,
C24H32O6,416.5073,26756,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,0,,,,,,,,,
C8H10O,122.1644,6342,0,OCCc1ccccc1,,0,,,,,,,,,
C12H17NO3,223.2683,25368,0,CCCCOc1ccc(CC(=O)NO)cc1,,0,,,,,,,,,
C5H4N4S,152.1771,810,0,S=c1[nH]cnc2[nH]cnc12,,1,,,,,,,,,
C10H12N4O4S,284.2917,26019,0,OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,,1,,,,,,,,,
C24H29Br2FNO3,558.2989 (398.4898+79.9045+79.9045),28581,0,C[N+]1(CCF)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-].[Br-],,0,,,,,,,,,
C21H34BrNO3,428.4036 (348.4990+79.9045),25632,0,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.[Br-],,0,,,,,,,,,
C28H42Cl4N4O2,608.4707 (537.5636+35.4535+35.4535),2582,0,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-],,0,,,,,,,,,
C8H20ClN,165.7041 (130.2506+35.4535),21137,0,CC[N+](CC)(CC)CC.[Cl-],,0,,,,,,,,,
C15H16ClN3S,305.8256 (270.3721+35.4535),28654,0,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-],,1,,,,,,,,,
C10H7KN6O,266.3005 (227.2027+39.0978),26623,0,Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12.[K+],,0,,,,,,,,,
C20H8Br4Na2O10S2,837.9971 (22.9892+22.9892+792.0186),3621,0,O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21.[Na+].[Na+],,1,,,,,,,,,
C5H4FeN6Na2O3,297.9482 (215.9392+22.9892+22.9892+18.0153+18.0153),21126,0,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O.O.O.[Na+].[Na+],,1,,,,,,,,,
C30H28Br2N2Na2O9,766.3389 (333.1573+22.9892+333.1573+22.9892+18.0153+18.0153+18.0153),24206,0,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],,0,,,,,,,,,
C20H18N6Na2O9S,564.4363 (22.9892+22.9892+518.4578),25595,0,CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+],,0,,,,,,,,,
C14H9N4NaO5,336.2348 (313.2456+22.9892),24585,0,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+],,0,,,,,,,,,
C12H17NaO7,296.2489 (273.2597+22.9892),14540,0,CC1(C)OC[C@@H]2O[C@@]3(C(=O)[O-])OC(C)(C)O[C@H]3[C@@H]2O1.[Na+],,0,,,,,,,,,
C24H25FNNaO4,433.4478 (22.9892+410.4586),24758,0,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],,0,,,,,,,,,
C22H31Cl2N2NaO4,481.3883 (22.9892+458.3991),25228,1,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1.[Na+],,0,,,,,,,,,
C21H23N2NaO6S,454.4719 (18.0153+22.9892+413.4674),25570,0,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],,1,,,,,,,,,
C41H42N4O6,686.7954,23747,0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1,,0,,,,,,,,,
C13H12N2O5S,308.3098,17250,0,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,,0,,,,,,,,,
C17H22BrNO4,384.2649 (303.3529+80.9119),25419,0,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,0,,,,,,,,,
C31H23BrO2S,539.4821,12374,1,O=c1sc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,,1,,,,,,,,,
C7H5Br2F,267.921,31611,0,Fc1cc(Br)ccc1CBr,,0,,,,,,,,,
C22H23N3O4,393.4357,26454,0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,1,,,,,,,,,
C19H20F3N3O3,395.3756,26201,0,C[C@@H]1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,,1,,,,,,,,,
C20H32O,288.4675,3024,0,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,0,,,,,,,,,
C23H32O2,340.499,31623,0,CC#C[C@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,1,,,,,,,,,
C22H30N2O,338.4864,23839,0,C[C@@H]1CCC[C@H](C)N1CCCC(O)(c1ccccc1)c1ccccn1,,0,,,,,,,,,
C18H26N2O6,366.4088 (304.4034+62.0054),25543,0,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=[N+]([O-])[O-],,0,,,,,,,,,
C10H18O,154.2493,6727,0,CC(C)=CCC/C(C)=C/CO,,0,,,,,,,,,
C23H22O6,394.4172,1248,0,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,,1,,,,,,,,,
C16H18N4O2,298.3397,25188,0,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,,0,,,,,,,,,
C14H13N,195.2597,29374,0,c1ccc2c(c1)CCc1ccccc1N2,,0,,,,,,,,,
C12H8S,184.2569,27725,0,c1ccc2c(c1)sc1ccccc12,,0,,,,,,,,,
C6H12N4,140.1863,692,0,C1N2CN3CN1CN(C2)C3,,0,,,,,,,,,
C10H15NO4,213.2304,20526,0,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,,0,,,,,,,,,
C21H28O2,312.4458,2974,0,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,,1,,,,,,,,,
C16H22N4O3,318.3709,344,0,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,,0,,,,,,,,,
C24H32O4,384.5085,614,0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,,1,,,,,,,,,
C14H17N3O9,371.2995,2635,0,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,,0,,,,,,,,,
C22H19NO4,361.3906,2681,0,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,,0,,,,,,,,,
C24H19NO5,401.4114,3411,0,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,,0,,,,,,,,,
C20H26O3,314.4186,25867,0,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,,0,,,,,,,,,
C25H31FO8,478.5072,28639,0,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,0,,,,,,,,,
C13H18O2,206.2808,732,0,CC(C)Cc1ccc(C(C)C(=O)O)cc1,,0,,,,,,,,,
C16H14O3,254.2806,771,0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,,0,,,,,,,,,
C16H24N2O,260.3746,20691,0,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,,0,,,,,,,,,
C23H36N2O2,372.5441,625,0,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,,1,,,,,,,,,
C17H27NO4,309.4006,3342,0,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,,0,,,,,,,,,
C19H27NO3,317.4226,20687,0,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,,0,,,,,,,,,
C12H18O,178.2707,3523,0,CC(C)c1cccc(C(C)C)c1O,,0,,,,,,,,,
C18H20N2O6,360.3612,3373,0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,,0,,,,,,,,,
C7H11NO2,141.1677,3019,0,CCC1(C)CC(=O)NC1=O,,0,,,,,,,,,
C17H28O5,312.4012,31610,0,CCO[C@H]1O[C@@H]2OC3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,,0,,,,,,,,,
C8H7N3O5,225.1583,22521,0,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],,0,,,,,,,,,
C14H13N3O5S,335.3351,25462,0,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,,0,,,,,,,,,
C18H18F3N3O3,381.349,31438,0,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,,0,,,,,,,,,
C16H24N2O3S,324.4384,26394,0,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCCCC2)cc1,,0,,,,,,,,,
C7H7ClO,142.5829,26558,0,Cc1ccc(Cl)c(O)c1,,0,,,,,,,,,
C7H10ClN3O3,219.6256,25420,0,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,,0,,,,,,,,,
C20H21FN6O5,444.4163,28586,0,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,,0,,,,,,,,,
C14H13N3O4S2,351.4007,803,0,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,,0,,,,,,,,,
C23H20N2O4S,420.4809,31433,0,Cc1oc(-c2ccccc2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1,,1,,,,,,,,,
C26H38O5,430.5769,31614,0,CCCC(=O)O[C@]1(C(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,,,,,,,,,
C40H71NO14,789.99,2994,0,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,,0,,,,,,,,,
C12H14N2O2,218.2518,3510,0,CCC1(c2ccccc2)C(=O)NCNC1=O,,0,,,,,,,,,
C13H24O4,244.3273,31572,0,CCCC(CCC)(C(=O)OCC)C(=O)OCC,,0,,,,,,,,,
C20H42O,298.5469,16288,0,CCCCCCCCCCC(CO)CCCCCCCC,,0,,,,,,,,,
C16H35N,241.4558,5390,0,CCCCCCCCCCCCCCCCN,,0,,,,,,,,,
C22H32O2,328.4883,31519,0,CCCOc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(OC)CC[C@@H]12,,0,,,,,,,,,
C12H15N3O3S,281.3308,31557,0,CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1,,0,,,,,,,,,
C27H41NO6,475.6175,31613,0,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,,,,,,,,,
C20H29N3O2,343.4632,25271,0,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,,0,,,,,,,,,
C14H20ClN5O2,325.7939 (36.4609+289.3330),25767,0,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C.Cl,,0,,,,,,,,,
C26H28ClNO9,533.9548 (497.4939+36.4609),27775,0,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,,1,,,,,,,,,
